model,component,contribution
PT4_COREDe,L7H7,0.7838541666666666
PT4_COREDe,L7H2,0.7838541666666666
PT4_COREDe,L7H6,0.7838541666666666
PT4_COREDe,L7H0,0.7838541666666666
PT4_COREDe,L7H3,0.7838541666666666
PT4_COREDe,L7H4,0.7838541666666666
PT4_COREDe,L7H1,0.7838541666666666
PT3_COREUt,L7H1,0.7825520833333334
PT3_COREUt,L7H0,0.7825520833333334
PT3_COREUt,L7H7,0.7825520833333334
PT3_COREUt,L7H6,0.7825520833333334
PT3_COREUt,L7H2,0.7825520833333334
PT3_COREUt,L7H5,0.7825520833333334
PT3_COREUt,L7H4,0.7825520833333334
PT3_COREUt,L7H3,0.7825520833333334
base,L7H7,0.78125
base,L7H4,0.78125
base,L7H1,0.78125
base,L7H3,0.78125
base,L7H0,0.78125
base,L7H2,0.78125
base,L7H5,0.78125
base,L7H6,0.78125
PT4_COREDe,L24_MLP,0.7561848958333334
PT3_COREDe,L24_MLP,0.7518880208333333
PT3_COREUt,L24_MLP,0.751171875
PT2_COREDe,L24_MLP,0.7463216145833333
base,L24_MLP,0.7277994791666667
PT2_COREDe,L0H7,0.6565104166666667
PT2_COREDe,L0H6,0.6565104166666667
PT2_COREDe,L0H5,0.6565104166666667
PT2_COREDe,L0H4,0.6565104166666667
PT2_COREDe,L0H3,0.6565104166666667
PT2_COREDe,L0H2,0.6565104166666667
PT2_COREDe,L0H1,0.6565104166666667
PT2_COREDe,L0H0,0.6565104166666667
base,L0H0,0.6559895833333333
base,L0H1,0.6559895833333333
base,L0H3,0.6559895833333333
base,L0H2,0.6559895833333333
base,L0H4,0.6559895833333333
base,L0H5,0.6559895833333333
base,L0H6,0.6559895833333333
base,L0H7,0.6559895833333333
PT3_COREDe,L0H7,0.6557291666666667
PT3_COREDe,L0H6,0.6557291666666667
PT3_COREDe,L0H0,0.6557291666666667
PT3_COREDe,L0H1,0.6557291666666667
PT3_COREDe,L0H2,0.6557291666666667
PT3_COREDe,L0H3,0.6557291666666667
PT3_COREDe,L0H4,0.6557291666666667
PT3_COREDe,L0H5,0.6557291666666667
PT3_COREUt,L0H7,0.6549479166666666
PT3_COREUt,L0H0,0.6549479166666666
PT3_COREUt,L0H1,0.6549479166666666
PT3_COREUt,L0H2,0.6549479166666666
PT3_COREUt,L0H3,0.6549479166666666
PT3_COREUt,L0H4,0.6549479166666666
PT3_COREUt,L0H5,0.6549479166666666
PT3_COREUt,L0H6,0.6549479166666666
PT4_COREDe,L0H6,0.6541666666666667
PT4_COREDe,L0H7,0.6541666666666667
PT4_COREDe,L0H4,0.6541666666666667
PT4_COREDe,L0H5,0.6541666666666667
PT4_COREDe,L0H2,0.6541666666666667
PT4_COREDe,L0H1,0.6541666666666667
PT4_COREDe,L0H0,0.6541666666666667
PT4_COREDe,L0H3,0.6541666666666667
PT2_COREDe,L3H5,0.5223958333333333
PT2_COREDe,L3H0,0.5223958333333333
PT2_COREDe,L3H1,0.5223958333333333
PT2_COREDe,L3H3,0.5223958333333333
PT2_COREDe,L3H6,0.5223958333333333
PT2_COREDe,L3H7,0.5223958333333333
PT2_COREDe,L3H4,0.5223958333333333
PT2_COREDe,L3H2,0.5223958333333333
PT3_COREUt,L3H6,0.5221354166666666
PT3_COREUt,L3H7,0.5221354166666666
PT3_COREUt,L3H1,0.5221354166666666
PT3_COREUt,L3H0,0.5221354166666666
PT3_COREUt,L3H3,0.5221354166666666
PT3_COREUt,L3H4,0.5221354166666666
PT3_COREUt,L3H5,0.5221354166666666
PT3_COREUt,L3H2,0.5221354166666666
PT3_COREDe,L3H5,0.5216145833333333
PT3_COREDe,L3H4,0.5216145833333333
PT3_COREDe,L3H2,0.5216145833333333
PT3_COREDe,L3H3,0.5216145833333333
PT3_COREDe,L3H0,0.5216145833333333
PT3_COREDe,L3H6,0.5216145833333333
PT3_COREDe,L3H7,0.5216145833333333
PT3_COREDe,L3H1,0.5216145833333333
PT4_COREDe,L3H1,0.52109375
PT4_COREDe,L3H2,0.52109375
PT4_COREDe,L3H3,0.52109375
base,L3H6,0.52109375
base,L3H4,0.52109375
base,L3H7,0.52109375
base,L3H1,0.52109375
base,L3H0,0.52109375
PT4_COREDe,L3H7,0.52109375
PT4_COREDe,L3H6,0.52109375
PT4_COREDe,L3H5,0.52109375
base,L3H5,0.52109375
base,L3H2,0.52109375
base,L3H3,0.52109375
PT4_COREDe,L3H0,0.52109375
PT4_COREDe,L3H4,0.52109375
PT3_COREDe,L20H4,0.5005208333333333
PT3_COREDe,L20H7,0.5005208333333333
PT3_COREDe,L20H3,0.5005208333333333
PT3_COREDe,L20H2,0.5005208333333333
PT3_COREDe,L20H1,0.5005208333333333
PT3_COREDe,L20H0,0.5005208333333333
PT3_COREDe,L20H5,0.5005208333333333
PT3_COREDe,L20H6,0.5005208333333333
PT3_COREUt,L20H4,0.499609375
PT3_COREUt,L20H6,0.499609375
PT3_COREUt,L20H3,0.499609375
PT3_COREUt,L20H7,0.499609375
PT3_COREUt,L20H5,0.499609375
PT3_COREUt,L20H0,0.499609375
PT3_COREUt,L20H2,0.499609375
PT3_COREUt,L20H1,0.499609375
base,L20H7,0.49765625
base,L20H6,0.49765625
base,L20H4,0.49765625
base,L20H1,0.49765625
base,L20H0,0.49765625
base,L20H3,0.49765625
base,L20H2,0.49765625
base,L20H5,0.49765625
