l9_component,other_component,correlation,abs_correlation
L9_ATTN,L18_MLP,-0.3670648184845952,0.3670648184845952
L9_ATTN,L19_ATTN,0.2833980558477758,0.2833980558477758
L9_ATTN,L19_MLP,-0.5250635084896654,0.5250635084896654
L9_ATTN,L1_ATTN,0.9543348212938484,0.9543348212938484
L9_ATTN,L1_MLP,-0.976440671727645,0.976440671727645
L9_ATTN,L20_ATTN,0.11940037426549306,0.11940037426549306
L9_ATTN,L20_MLP,-0.555799038602935,0.555799038602935
L9_ATTN,L21_ATTN,0.6965368896362961,0.6965368896362961
L9_ATTN,L21_MLP,-0.41769412363338804,0.41769412363338804
L9_ATTN,L22_ATTN,0.3005406487546976,0.3005406487546976
L9_ATTN,L22_MLP,-0.19523688127095118,0.19523688127095118
L9_ATTN,L23_ATTN,0.10978193531511396,0.10978193531511396
L9_ATTN,L23_MLP,-0.15345243518278473,0.15345243518278473
L9_ATTN,L24_ATTN,-0.040411795366060294,0.040411795366060294
L9_ATTN,L24_MLP,-0.08661436623346815,0.08661436623346815
L9_ATTN,L25_ATTN,0.6873968608841801,0.6873968608841801
L9_ATTN,L25_MLP,0.19272084726878042,0.19272084726878042
L9_ATTN,L2_ATTN,0.8512147729923112,0.8512147729923112
L9_ATTN,L2_MLP,0.9764406717276454,0.9764406717276454
L9_ATTN,L3_ATTN,-0.20665940225150975,0.20665940225150975
L9_ATTN,L3_MLP,0.8071254247958228,0.8071254247958228
L9_ATTN,L4_ATTN,-0.9190009711726929,0.9190009711726929
L9_ATTN,L4_MLP,-0.42837413487693765,0.42837413487693765
L9_ATTN,L5_ATTN,0.9664944627102898,0.9664944627102898
L9_ATTN,L5_MLP,0.9007213634931613,0.9007213634931613
L9_ATTN,L6_ATTN,0.9634813483139717,0.9634813483139717
L9_ATTN,L6_MLP,0.7574738141632891,0.7574738141632891
L9_ATTN,L7_ATTN,-0.8224564835770428,0.8224564835770428
L9_ATTN,L7_MLP,0.5280346557610656,0.5280346557610656
L9_ATTN,L8_ATTN,0.9649901887128849,0.9649901887128849
L9_ATTN,L8_MLP,0.6394550542568418,0.6394550542568418
L9_ATTN,L9_MLP,-0.3044306416677516,0.3044306416677516
