l9_component,other_component,correlation_De,abs_correlation_De,correlation_Ut,abs_correlation_Ut,difference,abs_difference
L9_ATTN,L24_MLP,0.16649460472284972,0.16649460472284972,-0.08661436623346815,0.08661436623346815,0.25310897095631785,0.25310897095631785
L9_MLP,L8_ATTN,-0.3401141148727313,0.3401141148727313,-0.09854905040545568,0.09854905040545568,-0.2415650644672756,0.2415650644672756
L9_MLP,L12_ATTN,0.6111100469203246,0.6111100469203246,0.851864086455797,0.851864086455797,-0.24075403953547247,0.24075403953547247
L9_MLP,L6_ATTN,-0.4665606197865988,0.4665606197865988,-0.23060064409319597,0.23060064409319597,-0.23595997569340282,0.23595997569340282
L9_ATTN,L19_ATTN,0.5187757787877361,0.5187757787877361,0.2833980558477758,0.2833980558477758,0.2353777229399603,0.2353777229399603
L9_MLP,L2_ATTN,-0.593180610719509,0.593180610719509,-0.3704932228483488,0.3704932228483488,-0.22268738787116021,0.22268738787116021
L9_ATTN,L25_MLP,0.3979712942485371,0.3979712942485371,0.19272084726878042,0.19272084726878042,0.2052504469797567,0.2052504469797567
L9_ATTN,L0_MLP,-0.7565000712494234,0.7565000712494234,-0.959365337776022,0.959365337776022,0.20286526652659853,0.20286526652659853
L9_MLP,L20_ATTN,0.5848304448957728,0.5848304448957728,0.7874313252181239,0.7874313252181239,-0.20260088032235102,0.20260088032235102
L9_MLP,L5_ATTN,-0.5759646943848074,0.5759646943848074,-0.3736059095520531,0.3736059095520531,-0.20235878483275427,0.20235878483275427
L9_MLP,L11_MLP,-0.29201244276863253,0.29201244276863253,-0.10054620206122292,0.10054620206122292,-0.1914662407074096,0.1914662407074096
