Component,De_to_Ut,Ut_to_De,Max_Effect,Asymmetry
L3H4,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L22_MLP,0.004166666666666667,-0.013541666666666667,0.013541666666666667,0.009375000000000001
L3H0,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H1,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H2,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H3,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H5,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H7,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L3H6,-0.013541666666666667,0.0020833333333333333,0.013541666666666667,0.011458333333333334
L19H5,0.0125,-0.003125,0.0125,0.009375000000000001
L8_MLP,-0.0020833333333333333,-0.0125,0.0125,0.014583333333333334
L1_MLP,-0.0010416666666666667,-0.0125,0.0125,0.013541666666666667
L24H7,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H6,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H5,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H4,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H3,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L19H6,0.0125,-0.003125,0.0125,0.009375000000000001
L24H1,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H0,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L24H2,0.008333333333333333,-0.0125,0.0125,0.0041666666666666675
L19H0,0.0125,-0.003125,0.0125,0.009375000000000001
L19H1,0.0125,-0.003125,0.0125,0.009375000000000001
L19H2,0.0125,-0.003125,0.0125,0.009375000000000001
L19H3,0.0125,-0.003125,0.0125,0.009375000000000001
L19H7,0.0125,-0.003125,0.0125,0.009375000000000001
L19H4,0.0125,-0.003125,0.0125,0.009375000000000001
L7_MLP,-0.0020833333333333333,-0.011458333333333333,0.011458333333333333,0.013541666666666665
L14H7,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L13_MLP,-0.011458333333333333,0.008333333333333333,0.011458333333333333,0.0031249999999999993
L14H0,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L14H1,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
