model_id,layer,module_type,component_name,lora_rank,lora_alpha,frobenius_norm,frobenius_norm_normalized,lora_A_norm,lora_B_norm,effective_scale
PT3_COREDe,10,self_attn.q_proj,L10_ATTN_Q,64,32,0.028789663687348366,0.0006361677006688791,4.623643398284912,0.04917607456445694,0.014394831843674183
PT3_COREDe,10,self_attn.k_proj,L10_ATTN_K,64,32,0.02076646313071251,0.0006489519728347659,4.61952018737793,0.03538471460342407,0.010383231565356255
PT3_COREDe,10,self_attn.v_proj,L10_ATTN_V,64,32,0.020958498120307922,0.0006549530662596226,4.619534969329834,0.035910218954086304,0.010479249060153961
PT3_COREDe,10,self_attn.o_proj,L10_ATTN_O,64,32,0.03408438339829445,0.000710091320797801,4.625417709350586,0.058399394154548645,0.017042191699147224
PT3_COREDe,11,mlp.gate_proj,L11_MLP_GATE,64,32,0.06806871294975281,0.0007090490932265917,4.612752437591553,0.11702316999435425,0.034034356474876404
PT3_COREDe,11,mlp.up_proj,L11_MLP_UP,64,32,0.06660377234220505,0.0006937892952313026,4.624257564544678,0.11430177837610245,0.033301886171102524
PT3_COREDe,11,mlp.down_proj,L11_MLP_DOWN,64,32,0.03523460030555725,0.0007340541730324427,4.617125988006592,0.060897741466760635,0.017617300152778625
PT3_COREDe,11,self_attn.q_proj,L11_ATTN_Q,64,32,0.03049105405807495,0.0006737634715621998,4.621918201446533,0.05222117155790329,0.015245527029037476
PT3_COREDe,11,self_attn.k_proj,L11_ATTN_K,64,32,0.02178458869457245,0.000680768396705389,4.62251615524292,0.03724050521850586,0.010892294347286224
PT3_COREDe,11,self_attn.v_proj,L11_ATTN_V,64,32,0.022168034687638283,0.0006927510839886963,4.626875400543213,0.037959352135658264,0.011084017343819141
PT3_COREDe,11,self_attn.o_proj,L11_ATTN_O,64,32,0.03557737544178963,0.0007411953217039505,4.614165782928467,0.0612797774374485,0.017788687720894814
PT3_COREDe,12,mlp.gate_proj,L12_MLP_GATE,64,32,0.07064195722341537,0.0007358537210772435,4.620682716369629,0.12041407823562622,0.03532097861170769
PT3_COREDe,12,mlp.up_proj,L12_MLP_UP,64,32,0.0714002251625061,0.0007437523454427719,4.615172386169434,0.12228698283433914,0.03570011258125305
PT3_COREDe,12,mlp.down_proj,L12_MLP_DOWN,64,32,0.03815841302275658,0.0007949669379740953,4.619751930236816,0.06582184880971909,0.01907920651137829
PT3_COREDe,12,self_attn.q_proj,L12_ATTN_Q,64,32,0.03087657131254673,0.0006822822798403691,4.623185634613037,0.052521124482154846,0.015438285656273365
PT3_COREDe,12,self_attn.k_proj,L12_ATTN_K,64,32,0.0214857067912817,0.0006714283372275531,4.613767623901367,0.036939430981874466,0.01074285339564085
PT3_COREDe,12,self_attn.v_proj,L12_ATTN_V,64,32,0.022254113107919693,0.0006954410346224904,4.624944686889648,0.03836316615343094,0.011127056553959846
PT3_COREDe,12,self_attn.o_proj,L12_ATTN_O,64,32,0.03626232221722603,0.0007554650461922089,4.615232944488525,0.061807453632354736,0.018131161108613014
PT3_COREDe,13,mlp.gate_proj,L13_MLP_GATE,64,32,0.07561594247817993,0.000787666067481041,4.615352630615234,0.12817302346229553,0.037807971239089966
PT3_COREDe,13,mlp.up_proj,L13_MLP_UP,64,32,0.07357744127511978,0.0007664316799491644,4.6204609870910645,0.12595368921756744,0.03678872063755989
PT3_COREDe,13,mlp.down_proj,L13_MLP_DOWN,64,32,0.037245605140924454,0.0007759501071025928,4.619960308074951,0.06463775783777237,0.018622802570462227
PT3_COREDe,13,self_attn.q_proj,L13_ATTN_Q,64,32,0.03257066756486893,0.0007197168719653609,4.6240644454956055,0.05573401600122452,0.016285333782434464
PT3_COREDe,13,self_attn.k_proj,L13_ATTN_K,64,32,0.022851578891277313,0.000714111840352416,4.6200995445251465,0.0390106737613678,0.011425789445638657
PT3_COREDe,13,self_attn.v_proj,L13_ATTN_V,64,32,0.02415107935667038,0.0007547212298959494,4.624805450439453,0.04175187274813652,0.01207553967833519
PT3_COREDe,13,self_attn.o_proj,L13_ATTN_O,64,32,0.03926778584718704,0.0008180788718163967,4.624028205871582,0.06661740690469742,0.01963389292359352
PT3_COREDe,14,mlp.gate_proj,L14_MLP_GATE,64,32,0.07652397453784943,0.0007971247347692648,4.608454704284668,0.13099852204322815,0.03826198726892471
PT3_COREDe,14,mlp.up_proj,L14_MLP_UP,64,32,0.0754358246922493,0.0007857898405442635,4.620748043060303,0.12917396426200867,0.03771791234612465
PT3_COREDe,14,mlp.down_proj,L14_MLP_DOWN,64,32,0.04227014258503914,0.0008806279705216488,4.620061874389648,0.07323752343654633,0.02113507129251957
PT3_COREDe,14,self_attn.q_proj,L14_ATTN_Q,64,32,0.03064434789121151,0.0006771508187161042,4.623332977294922,0.05210602656006813,0.015322173945605755
PT3_COREDe,14,self_attn.k_proj,L14_ATTN_K,64,32,0.021767744794487953,0.0006802420248277485,4.60797643661499,0.03732885420322418,0.010883872397243977
