scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta,seq_delta_logp_mean,seq_delta_logp_std,seq_delta_logp_min,seq_delta_logp_max,seq_p_action2_mean
CD_punished,PT3_COREUt,Utilitarian,3,-1.7473958333333333,0.19703235829937651,-1.88671875,-1.46875,0,25,7.458333333333333,-3.4224728315304485,-3.49479263980688,0.3609187357624597,-3.7500007253217906,-2.9843764687770578,0.03136380369061292
CD_punished,PT4_COREDe,Hybrid,3,4.346354166666667,0.8212750635656255,3.765625,5.5078125,0,25,8.635416666666666,0.018116486378205288,3.1614597498254997,1.1564144466958062,2.3437512527048057,4.796876744066887,0.93889487512955
DC_exploited,base,Base (no FT),3,-0.78515625,0.29831067331307476,-0.99609375,-0.36328125,0,17,7.458333333333333,-2.6577602288661857,3.333336178156493,0.16941064277947646,3.093753349527414,3.453127592471033,0.9650942969811266
DC_exploited,PT2_COREDe,Strategic,3,8.141927083333334,0.0018414239093399675,8.140625,8.14453125,0,25,12.3828125,1.1114455003004808,11.083333140863337,0.003682964516754868,11.078124642494004,11.085937390048004,0.9999846338223352
DC_exploited,PT3_COREDe,Deontological,3,-3.3997395833333335,0.05340129337085906,-3.4375,-3.32421875,0,25,7.5,-4.112401717748398,-8.307291774164469,0.688692558520061,-9.281250130728965,-7.82031259588222,0.0002986053211968055
DC_exploited,PT3_COREUt,Utilitarian,3,-1.1796875,0.16572815184059708,-1.296875,-0.9453125,0,18,7.4375,-3.1784057617187504,-2.0416660899073373,0.1252156621632352,-2.218747777560112,-1.9531252460809496,0.11550182774395361
DC_exploited,PT4_COREDe,Hybrid,3,-3.359375,1.3368737581808163,-4.3046875,-1.46875,0,25,9.485677083333334,-4.67903313269982,-2.963545636220258,0.5708426689980534,-3.367192358459409,-2.156252191741955,0.056807252740499636
DD_trapped,base,Base (no FT),3,-0.9934895833333334,0.169410999659277,-1.11328125,-0.75390625,0,17,7.5,-2.764141376201923,1.291671251412322,0.6923745773142381,0.3125057339321875,1.7812540101523895,0.763066682543574
DD_trapped,PT2_COREDe,Strategic,3,7.243489583333333,0.040511326005479284,7.21484375,7.30078125,0,25,11.385416666666666,0.821915064102564,10.382812396217602,0.11048559020189744,10.304687286162443,10.539062616327922,0.9999688565895674
DD_trapped,PT3_COREDe,Deontological,3,-3.451171875,0.01933495104806966,-3.478515625,-3.4375,0,25,7.5,-4.045879657451923,-8.080729249234276,0.8323234723561611,-9.257812392121828,-7.492187677790501,0.00040319262016038547
DD_trapped,PT3_COREUt,Utilitarian,3,-1.578125,0.11048543456039805,-1.65625,-1.421875,0,25,7.479166666666667,-3.3718214768629813,-2.567707774812895,0.2725310551997098,-2.9531248892441755,-2.374999217597255,0.0732624133497996
DD_trapped,PT4_COREDe,Hybrid,3,4.135416666666667,0.47877021642839157,3.796875,4.8125,0,25,8.484375,0.07333765274439107,3.1093786265590695,0.2651663867447623,2.921877676349114,3.484380526978982,0.9560249503968249
