component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff
L6_MLP,L8_MLP,0.7929285306749899,0.5756682519548895,0.21726027872010045,0.21726027872010045
L10_ATTN,L6_MLP,-0.5848745109930398,-0.3708447944301352,-0.2140297165629046,0.2140297165629046
L25_ATTN,L8_MLP,0.3806903352379541,0.1716464748484754,0.2090438603894787,0.2090438603894787
L20_ATTN,L9_MLP,0.5848304448957728,0.7874313252181239,-0.20260088032235102,0.20260088032235102
L5_ATTN,L9_MLP,-0.5759646943848074,-0.3736059095520531,-0.20235878483275427,0.20235878483275427
L1_ATTN,L6_MLP,0.9488243347417041,0.747759751778674,0.2010645829630301,0.2010645829630301
L13_ATTN,L6_MLP,0.3742552852777171,0.17336061630187466,0.20089466897584246,0.20089466897584246
L16_ATTN,L8_MLP,0.6102467918884878,0.41137867253430044,0.1988681193541874,0.1988681193541874
L16_ATTN,L6_MLP,0.3357432730432145,0.14057611801162584,0.19516715503158866,0.19516715503158866
L18_ATTN,L8_MLP,-0.8422747308376491,-0.6488521319061542,-0.19342259893149494,0.19342259893149494
L11_MLP,L9_MLP,-0.29201244276863253,-0.10054620206122292,-0.1914662407074096,0.1914662407074096
L4_ATTN,L6_MLP,-0.9171140816310207,-0.7269104459762928,-0.19020363565472787,0.19020363565472787
L19_ATTN,L6_MLP,0.1543577647249463,-0.03283226608770793,0.18719003081265423,0.18719003081265423
L5_ATTN,L8_MLP,0.8658695529350177,0.6801711323936234,0.1856984205413943,0.1856984205413943
L13_MLP,L6_MLP,0.7410693785053848,0.5567564941355782,0.18431288436980664,0.18431288436980664
L14_ATTN,L6_MLP,-0.14755077130238647,-0.33132460410777076,0.18377383280538429,0.18377383280538429
L22_MLP,L6_MLP,-0.056287243067824934,-0.23527829875459816,0.17899105568677323,0.17899105568677323
L11_ATTN,L9_MLP,-0.00669121987607217,-0.18108017934243492,0.17438895946636276,0.17438895946636276
L0_MLP,L8_MLP,-0.856497763541725,-0.6824331833709777,-0.17406458017074733,0.17406458017074733
L24_ATTN,L9_MLP,0.5899135715755973,0.7607227759712177,-0.17080920439562042,0.17080920439562042
L6_MLP,L7_ATTN,-0.5107941345076299,-0.6813000555913554,0.17050592108372553,0.17050592108372553
L17_ATTN,L9_MLP,0.6363535579139156,0.4662093395978943,0.17014421831602128,0.17014421831602128
L16_MLP,L9_MLP,0.2506138547551239,0.4195231118813157,-0.16890925712619181,0.16890925712619181
L12_ATTN,L6_MLP,-0.603586839661507,-0.4366895782310577,-0.16689726143044925,0.16689726143044925
L17_ATTN,L6_MLP,-0.3535830417400801,-0.1883330976334995,-0.1652499441065806,0.1652499441065806
L2_MLP,L9_MLP,-0.5923323892930317,-0.4283529368781194,-0.1639794524149123,0.1639794524149123
L4_MLP,L8_MLP,0.0532414940772558,-0.09595420133235279,0.1491956954096086,0.1491956954096086
L21_MLP,L8_MLP,0.46681305717692245,0.3181787741785573,0.14863428299836517,0.14863428299836517
L17_ATTN,L8_MLP,-0.5160550053778985,-0.3694399987735286,-0.14661500660436988,0.14661500660436988
L19_MLP,L8_MLP,0.009611253079345322,0.15435842633207064,-0.14474717325272532,0.14474717325272532
L11_MLP,L8_MLP,0.5027975407251841,0.6469230813993254,-0.1441255406741413,0.1441255406741413
L10_MLP,L6_MLP,0.6909301695191995,0.8336333359653965,-0.14270316644619696,0.14270316644619696
L23_ATTN,L6_MLP,-0.22450923534870637,-0.0818143421107232,-0.14269489323798318,0.14269489323798318
L25_ATTN,L6_MLP,0.5796554956736261,0.44014255622776033,0.13951293944586574,0.13951293944586574
