component,experiments_present,avg_rank,median_rank,best_rank,mean_of_mean_abs_delta,max_of_max_abs_delta,mean_effect_size,max_effect_size,total_flips
L19H2,4,70.0,70.0,17,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H1,4,73.75,74.0,18,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L13_MLP,4,48.5,48.5,38,0.42421876415984616,0.8671867638477391,0.07746027695132883,0.1439988617596404,0
L22H0,4,64.0,44.5,6,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H1,4,63.75,44.5,7,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H2,4,63.0,43.0,8,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H3,4,64.75,45.0,9,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H4,4,64.0,41.5,10,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H5,4,63.5,43.0,11,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H6,4,62.0,40.0,12,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L22H7,4,65.0,42.5,13,0.38242224051164647,0.6406248844416336,0.09820107214003923,0.2388058958504969,0
L20H1,4,74.5,58.5,28,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H0,4,74.0,57.5,29,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H2,4,73.5,58.5,30,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H5,4,72.0,54.0,31,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H3,4,75.0,58.5,32,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H4,4,73.25,55.0,33,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H7,4,73.0,56.5,33,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L20H6,4,72.75,54.5,34,0.372265515622516,0.9687494955684643,0.06615461357433987,0.129301267924576,0
L18_MLP,4,60.25,49.0,14,0.33984396068323885,0.7187502280978095,0.09922880166377648,0.3200000056456269,0
L22_MLP,4,59.25,53.0,31,0.32630154184186655,1.0312491498406209,0.07152006849839966,0.1803296476969397,0
L15H7,4,78.75,73.5,39,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H6,4,78.75,72.5,40,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H5,4,79.75,71.5,41,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H3,4,79.5,72.0,42,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H2,4,79.75,71.0,43,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H1,4,78.5,68.5,44,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H0,4,78.25,68.5,45,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L15H4,4,78.75,70.5,46,0.3138022385477145,1.3984379302109016,0.053087371372311065,0.164178681253228,0
L20_MLP,4,78.5,88.0,39,0.2975260136244546,0.5937497345864955,0.05784148867372746,0.1690144812014367,0
L25H4,4,56.25,53.5,41,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H0,4,56.75,53.0,42,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H2,4,58.0,54.0,43,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H7,4,57.75,52.0,43,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H3,4,58.0,53.0,44,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H6,4,57.75,54.5,44,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H5,4,57.75,51.5,45,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L25H1,4,59.75,55.5,48,0.28580740584076203,0.6718749986828598,0.0639728297844727,0.1519999448046125,0
L14H6,4,82.75,83.0,40,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H5,4,81.25,80.0,41,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H7,4,82.0,82.5,42,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H0,4,82.75,80.5,43,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H1,4,83.5,82.0,44,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H2,4,82.75,83.0,45,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H3,4,83.25,82.5,46,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L14H4,4,83.75,82.5,47,0.2789060048535384,0.6249992822164092,0.05129794942491199,0.1726192155063705,0
L11_MLP,4,72.0,71.0,49,0.2743480018788802,0.4531248913198924,0.05449734879314259,0.1101177109011559,0
L17H2,4,84.25,82.5,65,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H3,4,84.25,79.5,66,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H7,4,82.5,77.0,67,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H6,4,82.5,77.0,68,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H5,4,83.0,79.0,69,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H0,4,84.25,78.5,70,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H1,4,86.75,82.5,71,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L17H4,4,84.5,80.0,72,0.24765649680972301,1.1093741535051471,0.05536857473414021,0.2072373071936707,0
L1H7,4,71.0,65.0,50,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H2,4,74.0,68.5,51,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H3,4,74.25,69.0,52,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H4,4,75.25,71.0,53,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H5,4,74.0,69.5,54,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H6,4,73.0,67.5,55,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H0,4,75.25,68.0,56,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
L1H1,4,73.25,65.5,57,0.24518183110677816,0.3828125553781873,0.05536193799862478,0.1052623620727962,0
