component,mean_abs_delta_change,max_abs_delta_change,mean_effect_size,max_effect_size,flips,experiment,rank_in_experiment
L15H3,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,42
L15H2,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,43
L15H1,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,44
L15H0,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,45
L15H4,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,46
L19_MLP,0.5567707897352224,1.0156249313077377,0.06605672554137368,0.12115561519702,0,PT2_COREDe_to_PT3_COREDe,47
L22H6,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,48
L22H4,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,49
L22H2,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,50
L22H1,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,51
L22H0,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,52
L22H5,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,53
L22H7,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,54
L22H3,0.5390624543917334,0.6406248844416336,0.06515202561884709,0.0844629694421364,0,PT2_COREDe_to_PT3_COREDe,55
L23_MLP,0.47135412186397824,0.921875207274624,0.05999790838668783,0.1263383366198764,0,PT2_COREDe_to_PT3_COREDe,56
L25H7,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,57
L25H5,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,58
L25H4,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,59
L25H3,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,60
L25H2,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,61
L25H1,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,62
L25H6,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,63
L25H0,0.4166666646101694,0.6718749986828598,0.048927356514423016,0.0725738325266535,0,PT2_COREDe_to_PT3_COREDe,64
L17H2,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,65
L17H3,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,66
L17H7,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,67
