source_model,target_model,component,scenario,baseline_delta,baseline_action,baseline_p_action2,baseline_delta_legacy,patched_delta,patched_action,patched_p_action2,patched_delta_legacy,delta_change,delta_change_legacy,action_flipped,effect_size,effect_size_legacy
PT3_COREUt,PT3_COREDe,L10H3,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.726562753877726,Cooperate,5.967350555236012e-05,-3.41796875,-0.1328123815049036,0.109375,False,0.013843633876875748,0.03100774314730648
PT3_COREUt,PT3_COREDe,L10H4,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.726562753877726,Cooperate,5.967350555236012e-05,-3.41796875,-0.1328123815049036,0.109375,False,0.013843633876875748,0.03100774314730648
PT3_COREUt,PT3_COREDe,L10H5,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.726562753877726,Cooperate,5.967350555236012e-05,-3.41796875,-0.1328123815049036,0.109375,False,0.013843633876875748,0.03100774314730648
PT3_COREUt,PT3_COREDe,L10H6,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.726562753877726,Cooperate,5.967350555236012e-05,-3.41796875,-0.1328123815049036,0.109375,False,0.013843633876875748,0.03100774314730648
PT3_COREUt,PT3_COREDe,L10H7,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.726562753877726,Cooperate,5.967350555236012e-05,-3.41796875,-0.1328123815049036,0.109375,False,0.013843633876875748,0.03100774314730648
PT3_COREUt,PT3_COREDe,L11H0,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H1,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H2,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H3,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H4,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H5,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H6,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L11H7,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.640624643865968,Cooperate,6.502819101488616e-05,-3.369140625,-0.04687427149314516,0.158203125,False,0.004885916850850362,0.04485048562378259
PT3_COREUt,PT3_COREDe,L12H0,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H1,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H2,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H3,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H4,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H5,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H6,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L12H7,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.421875016575232,Cooperate,8.092757432407616e-05,-2.85546875,0.1718753557975905,0.671875,False,0.017915343969882407,0.19047613647631126
PT3_COREUt,PT3_COREDe,L13H0,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H1,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H2,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H3,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H4,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H5,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H6,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L13H7,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-9.359374541392663,Cooperate,8.614654574208866e-05,-2.931640625,0.23437583098015935,0.595703125,False,0.024430050548849194,0.1688814582130085
PT3_COREUt,PT3_COREDe,L14H0,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-8.992187876323415,Cooperate,0.00012436220448859575,-2.70703125,0.6015624960494073,0.8203125,False,0.06270357368044059,0.2325580736047986
PT3_COREUt,PT3_COREDe,L14H1,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-8.992187876323415,Cooperate,0.00012436220448859575,-2.70703125,0.6015624960494073,0.8203125,False,0.06270357368044059,0.2325580736047986
PT3_COREUt,PT3_COREDe,L14H2,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-8.992187876323415,Cooperate,0.00012436220448859575,-2.70703125,0.6015624960494073,0.8203125,False,0.06270357368044059,0.2325580736047986
PT3_COREUt,PT3_COREDe,L14H3,CC_continue,-9.593750372372822,Cooperate,6.814869674116201e-05,-3.52734375,-8.992187876323415,Cooperate,0.00012436220448859575,-2.70703125,0.6015624960494073,0.8203125,False,0.06270357368044059,0.2325580736047986
