scenario,component,delta_change,delta_change,effect_size,effect_size,action_flipped
,,mean,std,mean,std,sum
CC_continue,L11H4,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H5,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H6,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H7,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11_MLP,-0.26301796322267235,0.022552557534224044,0.08666629079296014,0.020309525568518737,0
CC_continue,L12H0,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H1,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H2,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H3,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H4,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H5,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H6,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12H7,2.494876918390787e-07,0.01353169301605736,0.0035454336833504567,0.002084405192640633,0
CC_continue,L12_MLP,0.031248709909692085,0.01353071625494958,0.009790128266513116,0.0033236652756417824,0
CC_continue,L13H0,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H1,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H2,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H3,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H4,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H5,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H6,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13H7,-0.031251058405222874,0.027062257165358917,0.011059368553421184,0.011041882469048598,0
CC_continue,L13_MLP,0.2135430818211209,0.049612898724098166,0.06824146124682601,0.007548120106755953,0
CC_continue,L14H0,-0.33854141177472136,0.09923325340476526,0.11374560839511623,0.0509860393707704,0
CC_continue,L14H1,-0.33854141177472136,0.09923325340476526,0.11374560839511623,0.0509860393707704,0
