source_model,target_model,component,scenario,baseline_delta,baseline_action,patched_delta,patched_action,delta_change,action_flipped,effect_size
PT3_COREDe,PT3_COREUt,L12H2,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H3,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H4,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H5,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H6,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H7,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H0,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H1,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H2,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H3,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H4,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H5,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H6,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L13H7,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L14H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L14H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H0,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H1,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H2,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H3,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H4,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H5,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H6,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L15H7,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L16H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H0,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H1,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H2,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H3,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H4,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H5,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H6,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L17H7,CC_continue,-1.15625,Cooperate,-1.125,Cooperate,0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L18H0,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H1,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H2,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H3,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H4,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H5,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H6,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L18H7,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L19H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L19H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L20H0,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H1,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H2,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H3,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H4,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H5,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H6,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L20H7,CC_continue,-1.15625,Cooperate,-1.15625,Cooperate,0.0,False,0.0
PT3_COREDe,PT3_COREUt,L21H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L21H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
