source_model,target_model,component,scenario,baseline_delta,baseline_action,baseline_p_action2,baseline_delta_legacy,patched_delta,patched_action,patched_p_action2,patched_delta_legacy,delta_change,delta_change_legacy,action_flipped,effect_size,effect_size_legacy
PT2_COREDe,PT3_COREUt,L14H1,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H2,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H3,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H4,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H5,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H6,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L14H7,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.531248604924377,Cooperate,0.07369636494112322,-1.40625,2.367761626764775e-06,0.09375,False,9.354112717005636e-07,0.06249995833336112
PT2_COREDe,PT3_COREUt,L15H0,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.4687497197989083,Cooperate,0.07807818531437859,-1.53125,0.0625012528870954,-0.03125,False,0.024691833749278243,0.020833319444453706
PT2_COREDe,PT3_COREUt,L15H1,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.4687497197989083,Cooperate,0.07807818531437859,-1.53125,0.0625012528870954,-0.03125,False,0.024691833749278243,0.020833319444453706
PT2_COREDe,PT3_COREUt,L15H2,CC_temptation,-2.5312509726860037,Cooperate,0.07369620330553996,-1.5,-2.4687497197989083,Cooperate,0.07807818531437859,-1.53125,0.0625012528870954,-0.03125,False,0.024691833749278243,0.020833319444453706
