source_model,target_model,scenario,variant,patched_component,layer,baseline_delta,patched_delta,patch_effect
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,11,-3.4951171875,-3.873046875,-0.3779296875
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,12,-3.37890625,-3.814453125,-0.435546875
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,13,-2.212890625,-2.521484375,-0.30859375
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,14,-1.9912109375,-2.1474609375,-0.15625
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,15,-0.25,-0.35546875,-0.10546875
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,16,-0.0625,-0.01171875,0.05078125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,17,-0.7421875,-0.75,-0.0078125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,18,-4.05859375,-4.123046875,-0.064453125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,19,-1.14453125,-1.32421875,-0.1796875
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,20,-0.455078125,-0.724609375,-0.26953125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,21,0.1015625,-0.14453125,-0.24609375
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,22,-0.21875,-0.484375,-0.265625
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,23,1.0,0.78125,-0.21875
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,24,1.2890625,1.09375,-0.1953125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,25,1.15234375,1.015625,-0.13671875
